Service Name,Uptime/Downtime,Pass/Fail,Latency (ms),Last Check Time
Canvas,0,0,,2024-08-21 18:12:09
Dashboard,0,0,,2024-08-21 18:12:09
AlgoView,0,0,,2024-08-21 18:12:09
LogicBoard,0,0,,2024-08-21 18:12:09
Canvas,0,0,,2024-08-21 18:16:16
Dashboard,0,0,,2024-08-21 18:16:16
AlgoView,0,0,,2024-08-21 18:16:16
LogicBoard,0,0,,2024-08-21 18:16:16
Canvas,0,0,,2024-08-21 18:23:07
Dashboard,0,0,,2024-08-21 18:23:07
AlgoView,0,0,,2024-08-21 18:23:07
LogicBoard,0,0,,2024-08-21 18:23:07
Canvas,0,0,,2024-08-21 18:23:21
Dashboard,0,0,,2024-08-21 18:23:21
AlgoView,0,0,,2024-08-21 18:23:21
LogicBoard,0,0,,2024-08-21 18:23:21
Canvas,0,0,,2024-08-21 18:24:50
Dashboard,0,0,,2024-08-21 18:24:50
AlgoView,0,0,,2024-08-21 18:24:50
LogicBoard,0,0,,2024-08-21 18:24:50
Canvas,0,0,,2024-08-21 18:27:00
Dashboard,0,0,,2024-08-21 18:27:00
AlgoView,0,0,,2024-08-21 18:27:00
LogicBoard,0,0,,2024-08-21 18:27:00
